"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"4403","32","text","0","4405","0.0-0.0","020",""
"3019","32","text","1","8427","0.0-1.0","020",""
"31388","13","text","2","40825","0.0-2.0","020",""
"57963","","survey-likert","3","99806","0.0-3.0","020","{""Q0"":""6"",""Q1"":""6"",""Q2"":""5"",""Q3"":""6"",""Q4"":""6"",""Q5"":""3"",""Q6"":""4"",""Q7"":""5"",""Q8"":""2"",""Q9"":""5""}"
"55501","","survey-likert","4","156328","0.0-4.0","020","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""1"",""Q4"":""6"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""5"",""Q9"":""5""}"
"53617","","survey-likert","5","210959","0.0-5.0","020","{""Q0"":""2"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""0"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""3"",""Q9"":""0"",""Q10"":""6""}"
"119730","","survey-likert","6","331700","0.0-6.0","020","{""Q0"":""6"",""Q1"":""3"",""Q2"":""6"",""Q3"":""3"",""Q4"":""3"",""Q5"":""5"",""Q6"":""6""}"
"4647","","survey-text","7","337354","0.0-7.0","020","{""Q0"":""voice""}"
"2971","13","text","8","341333","0.0-8.0","020",""
"51196","","survey-likert","9","393542","0.0-9.0","020","{""Q0"":""6"",""Q1"":""3"",""Q2"":""3"",""Q3"":""4"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""5"",""Q8"":""5"",""Q9"":""6"",""Q10"":""5"",""Q11"":""4"",""Q12"":""3"",""Q13"":""6""}"
"21801","","survey-likert","10","416358","0.0-10.0","020","{""Q0"":""2"",""Q1"":""5"",""Q2"":""4""}"
"88313","","survey-likert","11","505681","0.0-11.0","020","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""1"",""Q4"":""2"",""Q5"":""0"",""Q6"":""1"",""Q7"":""2"",""Q8"":""0""}"
"9895","","survey-text","12","516583","0.0-12.0","020","{""Q0"":""19"",""Q1"":""FEMALE""}"
"3415","","survey-likert","13","521007","0.0-13.0","020","{""Q0"":""1""}"
"1673","","survey-text","14","523693","0.0-14.0","020","{""Q0"":""""}"
"17958","32","text","15","542658","0.0-15.0","020",""
