"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"40628","32","text","0","40630","0.0-0.0","6",""
"8401","32","text","1","50037","0.0-1.0","6",""
"8087","32","text","2","59133","0.0-2.0","6",""
"79850","","survey-likert","3","139998","0.0-3.0","6","{""Q0"":""5"",""Q1"":""5"",""Q2"":""1"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""6"",""Q7"":""5"",""Q8"":""1"",""Q9"":""6""}"
"96009","","survey-likert","4","237021","0.0-4.0","6","{""Q0"":""2"",""Q1"":""5"",""Q2"":""4"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""4"",""Q9"":""5""}"
"71078","","survey-likert","5","309109","0.0-5.0","6","{""Q0"":""4"",""Q1"":""5"",""Q2"":""0"",""Q3"":""4"",""Q4"":""1"",""Q5"":""4"",""Q6"":""1"",""Q7"":""2"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5""}"
"80460","","survey-likert","6","390578","0.0-6.0","6","{""Q0"":""5"",""Q1"":""2"",""Q2"":""4"",""Q3"":""3"",""Q4"":""5"",""Q5"":""2"",""Q6"":""2""}"
"19627","","survey-text","7","411216","0.0-7.0","6","{""Q0"":""Voice""}"
"8617","32","text","8","420840","0.0-8.0","6",""
"35694","","survey-likert","9","457547","0.0-9.0","6","{""Q0"":""5"",""Q1"":""3"",""Q2"":""3"",""Q3"":""2"",""Q4"":""4"",""Q5"":""3"",""Q6"":""4"",""Q7"":""3"",""Q8"":""4"",""Q9"":""3"",""Q10"":""4"",""Q11"":""4"",""Q12"":""1"",""Q13"":""5""}"
"32116","","survey-likert","10","490672","0.0-10.0","6","{""Q0"":""5"",""Q1"":""5"",""Q2"":""7""}"
"85491","","survey-likert","11","577191","0.0-11.0","6","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""1"",""Q4"":""1"",""Q5"":""0"",""Q6"":""2"",""Q7"":""4"",""Q8"":""0""}"
"74636","","survey-text","12","652843","0.0-12.0","6","{""Q0"":""19"",""Q1"":""Male""}"
"5105","","survey-likert","13","658956","0.0-13.0","6","{""Q0"":""1""}"
"9568","","survey-text","14","669530","0.0-14.0","6","{""Q0"":""NA""}"
"15464","32","text","15","686004","0.0-15.0","6",""
