"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"4156","32","text","0","4160","0.0-0.0","031",""
"15858","32","text","1","21028","0.0-1.0","031",""
"2108","32","text","2","24148","0.0-2.0","031",""
"60510","","survey-likert","3","85684","0.0-3.0","031","{""Q0"":""4"",""Q1"":""5"",""Q2"":""1"",""Q3"":""1"",""Q4"":""6"",""Q5"":""5"",""Q6"":""5"",""Q7"":""3"",""Q8"":""1"",""Q9"":""5""}"
"61822","","survey-likert","4","148524","0.0-4.0","031","{""Q0"":""2"",""Q1"":""5"",""Q2"":""2"",""Q3"":""1"",""Q4"":""4"",""Q5"":""6"",""Q6"":""4"",""Q7"":""5"",""Q8"":""5"",""Q9"":""6""}"
"61738","","survey-likert","5","211280","0.0-5.0","031","{""Q0"":""2"",""Q1"":""5"",""Q2"":""0"",""Q3"":""6"",""Q4"":""2"",""Q5"":""4"",""Q6"":""0"",""Q7"":""4"",""Q8"":""1"",""Q9"":""0"",""Q10"":""5""}"
"53728","","survey-likert","6","266022","0.0-6.0","031","{""Q0"":""6"",""Q1"":""6"",""Q2"":""5"",""Q3"":""2"",""Q4"":""4"",""Q5"":""1"",""Q6"":""3""}"
"5436","","survey-text","7","272468","0.0-7.0","031","{""Q0"":""Voice""}"
"5980","32","text","8","279458","0.0-8.0","031",""
"41662","","survey-likert","9","322148","0.0-9.0","031","{""Q0"":""6"",""Q1"":""6"",""Q2"":""6"",""Q3"":""5"",""Q4"":""4"",""Q5"":""5"",""Q6"":""6"",""Q7"":""6"",""Q8"":""3"",""Q9"":""6"",""Q10"":""5"",""Q11"":""4"",""Q12"":""0"",""Q13"":""6""}"
"23632","","survey-likert","10","346798","0.0-10.0","031","{""Q0"":""8"",""Q1"":""7"",""Q2"":""5""}"
"47780","","survey-likert","11","395596","0.0-11.0","031","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""1"",""Q4"":""2"",""Q5"":""0"",""Q6"":""2"",""Q7"":""2"",""Q8"":""5""}"
"10104","","survey-text","12","406714","0.0-12.0","031","{""Q0"":""22"",""Q1"":""FEMALE""}"
"3866","","survey-likert","13","411586","0.0-13.0","031","{""Q0"":""1""}"
"4184","","survey-text","14","416784","0.0-14.0","031","{""Q0"":""N/A""}"
"16388","32","text","15","434176","0.0-15.0","031",""
