"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"5437","32","text","0","5438","0.0-0.0","210",""
"17944","32","text","1","24390","0.0-1.0","210",""
"8521","32","text","2","33916","0.0-2.0","210",""
"55378","","survey-likert","3","90311","0.0-3.0","210","{""Q0"":""0"",""Q1"":""1"",""Q2"":""0"",""Q3"":""5"",""Q4"":""4"",""Q5"":""5"",""Q6"":""2"",""Q7"":""4"",""Q8"":""5"",""Q9"":""1""}"
"68646","","survey-likert","4","159982","0.0-4.0","210","{""Q0"":""4"",""Q1"":""1"",""Q2"":""4"",""Q3"":""5"",""Q4"":""0"",""Q5"":""6"",""Q6"":""5"",""Q7"":""5"",""Q8"":""4"",""Q9"":""1""}"
"67185","","survey-likert","5","228176","0.0-5.0","210","{""Q0"":""1"",""Q1"":""4"",""Q2"":""5"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""0"",""Q7"":""4"",""Q8"":""5"",""Q9"":""1"",""Q10"":""1""}"
"53267","","survey-likert","6","282467","0.0-6.0","210","{""Q0"":""0"",""Q1"":""0"",""Q2"":""2"",""Q3"":""0"",""Q4"":""2"",""Q5"":""0"",""Q6"":""5""}"
"16202","","survey-text","7","299688","0.0-7.0","210","{""Q0"":""voice""}"
"6490","32","text","8","307185","0.0-8.0","210",""
"37150","","survey-likert","9","345368","0.0-9.0","210","{""Q0"":""2"",""Q1"":""3"",""Q2"":""6"",""Q3"":""2"",""Q4"":""3"",""Q5"":""1"",""Q6"":""4"",""Q7"":""1"",""Q8"":""4"",""Q9"":""4"",""Q10"":""5"",""Q11"":""5"",""Q12"":""1"",""Q13"":""5""}"
"33623","","survey-likert","10","380008","0.0-10.0","210","{""Q0"":""2"",""Q1"":""3"",""Q2"":""1""}"
"29597","","survey-likert","11","410624","0.0-11.0","210","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"10988","","survey-text","12","422628","0.0-12.0","210","{""Q0"":""18"",""Q1"":""FEMALE""}"
"5208","","survey-likert","13","428844","0.0-13.0","210","{""Q0"":""1""}"
"9228","","survey-text","14","439104","0.0-14.0","210","{""Q0"":""N/A""}"
"6118","32","text","15","446230","0.0-15.0","210",""
