"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"6056","32","text","0","6062","0.0-0.0","225",""
"11522","32","text","1","18600","0.0-1.0","225",""
"4780","32","text","2","24384","0.0-2.0","225",""
"43322","","survey-likert","3","68740","0.0-3.0","225","{""Q0"":""5"",""Q1"":""5"",""Q2"":""3"",""Q3"":""5"",""Q4"":""4"",""Q5"":""1"",""Q6"":""4"",""Q7"":""5"",""Q8"":""1"",""Q9"":""5""}"
"45728","","survey-likert","4","115498","0.0-4.0","225","{""Q0"":""4"",""Q1"":""5"",""Q2"":""3"",""Q3"":""1"",""Q4"":""5"",""Q5"":""5"",""Q6"":""1"",""Q7"":""4"",""Q8"":""3"",""Q9"":""5""}"
"56168","","survey-likert","5","172690","0.0-5.0","225","{""Q0"":""1"",""Q1"":""2"",""Q2"":""2"",""Q3"":""6"",""Q4"":""4"",""Q5"":""0"",""Q6"":""2"",""Q7"":""3"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5""}"
"85916","","survey-likert","6","259622","0.0-6.0","225","{""Q0"":""6"",""Q1"":""4"",""Q2"":""3"",""Q3"":""0"",""Q4"":""5"",""Q5"":""4"",""Q6"":""3""}"
"9682","","survey-text","7","270324","0.0-7.0","225","{""Q0"":""VOICE""}"
"5322","32","text","8","276652","0.0-8.0","225",""
"40540","","survey-likert","9","318226","0.0-9.0","225","{""Q0"":""4"",""Q1"":""3"",""Q2"":""3"",""Q3"":""4"",""Q4"":""4"",""Q5"":""3"",""Q6"":""4"",""Q7"":""4"",""Q8"":""5"",""Q9"":""3"",""Q10"":""5"",""Q11"":""5"",""Q12"":""3"",""Q13"":""6""}"
"45448","","survey-likert","10","364694","0.0-10.0","225","{""Q0"":""7"",""Q1"":""7"",""Q2"":""7""}"
"76272","","survey-likert","11","441986","0.0-11.0","225","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2"",""Q7"":""0"",""Q8"":""4""}"
"10944","","survey-text","12","453944","0.0-12.0","225","{""Q0"":""21"",""Q1"":""FEMALE""}"
"9604","","survey-likert","13","464558","0.0-13.0","225","{""Q0"":""0""}"
"11668","","survey-text","14","477258","0.0-14.0","225","{""Q0"":""ADDERALL""}"
"13356","32","text","15","491624","0.0-15.0","225",""
