"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"19420","32","text","0","19422","0.0-0.0","021",""
"5779","32","text","1","26203","0.0-1.0","021",""
"3141","32","text","2","30355","0.0-2.0","021",""
"42813","","survey-likert","3","74190","0.0-3.0","021","{""Q0"":""5"",""Q1"":""4"",""Q2"":""3"",""Q3"":""3"",""Q4"":""6"",""Q5"":""5"",""Q6"":""5"",""Q7"":""4"",""Q8"":""4"",""Q9"":""6""}"
"44124","","survey-likert","4","119325","0.0-4.0","021","{""Q0"":""2"",""Q1"":""5"",""Q2"":""2"",""Q3"":""1"",""Q4"":""2"",""Q5"":""5"",""Q6"":""4"",""Q7"":""5"",""Q8"":""3"",""Q9"":""4""}"
"35937","","survey-likert","5","156277","0.0-5.0","021","{""Q0"":""4"",""Q1"":""5"",""Q2"":""4"",""Q3"":""6"",""Q4"":""1"",""Q5"":""4"",""Q6"":""1"",""Q7"":""2"",""Q8"":""4"",""Q9"":""0"",""Q10"":""5""}"
"37031","","survey-likert","6","194315","0.0-6.0","021","{""Q0"":""5"",""Q1"":""5"",""Q2"":""6"",""Q3"":""2"",""Q4"":""4"",""Q5"":""0"",""Q6"":""3""}"
"7307","","survey-text","7","202633","0.0-7.0","021","{""Q0"":""Voice""}"
"4138","38","text","8","207776","0.0-8.0","021",""
"28982","","survey-likert","9","237773","0.0-9.0","021","{""Q0"":""4"",""Q1"":""2"",""Q2"":""0"",""Q3"":""5"",""Q4"":""3"",""Q5"":""2"",""Q6"":""1"",""Q7"":""0"",""Q8"":""3"",""Q9"":""3"",""Q10"":""4"",""Q11"":""6"",""Q12"":""2"",""Q13"":""4""}"
"18131","","survey-likert","10","256921","0.0-10.0","021","{""Q0"":""4"",""Q1"":""4"",""Q2"":""6""}"
"38000","","survey-likert","11","295945","0.0-11.0","021","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""1"",""Q4"":""1"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""0""}"
"9030","","survey-text","12","305984","0.0-12.0","021","{""Q0"":""18"",""Q1"":""MAN""}"
"3111","","survey-likert","13","310104","0.0-13.0","021","{""Q0"":""1""}"
"9158","","survey-text","14","320270","0.0-14.0","021","{""Q0"":""N/A""}"
"21986","32","text","15","343262","0.0-15.0","021",""
