"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"2053650","32","text","0","2053650","0.0-0.0","035",""
"5506","32","text","1","2060164","0.0-1.0","035",""
"2438","32","text","2","2063604","0.0-2.0","035",""
"31852","","survey-likert","3","2096474","0.0-3.0","035","{""Q0"":""5"",""Q1"":""6"",""Q2"":""3"",""Q3"":""5"",""Q4"":""5"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""1"",""Q9"":""5""}"
"28952","","survey-likert","4","2126434","0.0-4.0","035","{""Q0"":""0"",""Q1"":""5"",""Q2"":""1"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""5"",""Q9"":""5""}"
"33388","","survey-likert","5","2160834","0.0-5.0","035","{""Q0"":""4"",""Q1"":""5"",""Q2"":""0"",""Q3"":""5"",""Q4"":""2"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""5"",""Q9"":""4"",""Q10"":""6""}"
"41620","","survey-likert","6","2203464","0.0-6.0","035","{""Q0"":""6"",""Q1"":""4"",""Q2"":""5"",""Q3"":""3"",""Q4"":""6"",""Q5"":""4"",""Q6"":""2""}"
"5094","","survey-text","7","2209566","0.0-7.0","035","{""Q0"":""voice""}"
"5786","32","text","8","2216354","0.0-8.0","035",""
"28026","","survey-likert","9","2245394","0.0-9.0","035","{""Q0"":""3"",""Q1"":""4"",""Q2"":""4"",""Q3"":""3"",""Q4"":""3"",""Q5"":""4"",""Q6"":""4"",""Q7"":""2"",""Q8"":""4"",""Q9"":""4"",""Q10"":""4"",""Q11"":""4"",""Q12"":""4"",""Q13"":""4""}"
"16188","","survey-likert","10","2262590","0.0-10.0","035","{""Q0"":""0"",""Q1"":""2"",""Q2"":""2""}"
"29082","","survey-likert","11","2292700","0.0-11.0","035","{""Q0"":""1"",""Q1"":""3"",""Q2"":""0"",""Q3"":""1"",""Q4"":""3"",""Q5"":""0"",""Q6"":""1"",""Q7"":""3"",""Q8"":""0""}"
"9794","","survey-text","12","2303508","0.0-12.0","035","{""Q0"":""21"",""Q1"":""FEMALE""}"
"4046","","survey-likert","13","2308564","0.0-13.0","035","{""Q0"":""1""}"
"7178","","survey-text","14","2316746","0.0-14.0","035","{""Q0"":""n/a""}"
"3332","32","text","15","2321088","0.0-15.0","035",""
