"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"7640","32","text","0","7642","0.0-0.0","2",""
"7372","32","text","1","16023","0.0-1.0","2",""
"6144","13","text","2","23175","0.0-2.0","2",""
"61922","","survey-likert","3","86118","0.0-3.0","2","{""Q0"":""6"",""Q1"":""4"",""Q2"":""2"",""Q3"":""5"",""Q4"":""3"",""Q5"":""4"",""Q6"":""6"",""Q7"":""5"",""Q8"":""0"",""Q9"":""5""}"
"71101","","survey-likert","4","158232","0.0-4.0","2","{""Q0"":""1"",""Q1"":""5"",""Q2"":""2"",""Q3"":""0"",""Q4"":""5"",""Q5"":""5"",""Q6"":""1"",""Q7"":""3"",""Q8"":""3"",""Q9"":""5""}"
"65352","","survey-likert","5","224599","0.0-5.0","2","{""Q0"":""2"",""Q1"":""6"",""Q2"":""2"",""Q3"":""5"",""Q4"":""0"",""Q5"":""4"",""Q6"":""0"",""Q7"":""5"",""Q8"":""3"",""Q9"":""3"",""Q10"":""6""}"
"73184","","survey-likert","6","298796","0.0-6.0","2","{""Q0"":""5"",""Q1"":""4"",""Q2"":""6"",""Q3"":""3"",""Q4"":""4"",""Q5"":""1"",""Q6"":""4""}"
"7832","","survey-text","7","307643","0.0-7.0","2","{""Q0"":""voice""}"
"4267","13","text","8","312915","0.0-8.0","2",""
"49168","","survey-likert","9","363094","0.0-9.0","2","{""Q0"":""6"",""Q1"":""4"",""Q2"":""3"",""Q3"":""2"",""Q4"":""6"",""Q5"":""2"",""Q6"":""4"",""Q7"":""3"",""Q8"":""5"",""Q9"":""4"",""Q10"":""6"",""Q11"":""5"",""Q12"":""0"",""Q13"":""2""}"
"25638","","survey-likert","10","389739","0.0-10.0","2","{""Q0"":""6"",""Q1"":""4"",""Q2"":""4""}"
"61315","","survey-likert","11","452067","0.0-11.0","2","{""Q0"":""1"",""Q1"":""3"",""Q2"":""2"",""Q3"":""1"",""Q4"":""3"",""Q5"":""2"",""Q6"":""2"",""Q7"":""3"",""Q8"":""5""}"
"16258","","survey-text","12","469336","0.0-12.0","2","{""Q0"":""18"",""Q1"":""FEMALE""}"
"5182","","survey-likert","13","475528","0.0-13.0","2","{""Q0"":""1""}"
"3364","","survey-text","14","479910","0.0-14.0","2","{""Q0"":""""}"
"8126","13","text","15","489040","0.0-15.0","2",""
