"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"25629","32","text","0","25631","0.0-0.0","013",""
"5652","32","text","1","32292","0.0-1.0","013",""
"2170","32","text","2","35468","0.0-2.0","013",""
"40157","","survey-likert","3","76638","0.0-3.0","013","{""Q0"":""5"",""Q1"":""3"",""Q2"":""1"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""1"",""Q9"":""5""}"
"57486","","survey-likert","4","135142","0.0-4.0","013","{""Q0"":""1"",""Q1"":""5"",""Q2"":""4"",""Q3"":""1"",""Q4"":""5"",""Q5"":""5"",""Q6"":""3"",""Q7"":""5"",""Q8"":""5"",""Q9"":""4""}"
"39313","","survey-likert","5","175469","0.0-5.0","013","{""Q0"":""2"",""Q1"":""5"",""Q2"":""1"",""Q3"":""4"",""Q4"":""2"",""Q5"":""5"",""Q6"":""0"",""Q7"":""5"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5""}"
"54935","","survey-likert","6","231411","0.0-6.0","013","{""Q0"":""3"",""Q1"":""5"",""Q2"":""6"",""Q3"":""3"",""Q4"":""4"",""Q5"":""2"",""Q6"":""2""}"
"7147","","survey-text","7","239570","0.0-7.0","013","{""Q0"":""Horn\n""}"
"3935","32","text","8","244513","0.0-8.0","013",""
"30765","","survey-likert","9","276293","0.0-9.0","013","{""Q0"":""5"",""Q1"":""4"",""Q2"":""1"",""Q3"":""3"",""Q4"":""3"",""Q5"":""5"",""Q6"":""4"",""Q7"":""2"",""Q8"":""4"",""Q9"":""5"",""Q10"":""6"",""Q11"":""4"",""Q12"":""4"",""Q13"":""5""}"
"28700","","survey-likert","10","306001","0.0-10.0","013","{""Q0"":""5"",""Q1"":""4"",""Q2"":""7""}"
"32250","","survey-likert","11","339281","0.0-11.0","013","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""1"",""Q4"":""2"",""Q5"":""0"",""Q6"":""1"",""Q7"":""2"",""Q8"":""0""}"
"14363","","survey-text","12","354654","0.0-12.0","013","{""Q0"":""18"",""Q1"":""MALE""}"
"3701","","survey-likert","13","359359","0.0-13.0","013","{""Q0"":""1""}"
"2392","","survey-text","14","362757","0.0-14.0","013","{""Q0"":""""}"
"4897","32","text","15","368664","0.0-15.0","013",""
