"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"56646","32","text","0","56646","0.0-0.0","7",""
"12637","32","text","1","70291","0.0-1.0","7",""
"8388","32","text","2","79682","0.0-2.0","7",""
"66573","","survey-likert","3","147270","0.0-3.0","7","{""Q0"":""6"",""Q1"":""5"",""Q2"":""4"",""Q3"":""3"",""Q4"":""5"",""Q5"":""4"",""Q6"":""4"",""Q7"":""6"",""Q8"":""1"",""Q9"":""3""}"
"56518","","survey-likert","4","204798","0.0-4.0","7","{""Q0"":""1"",""Q1"":""5"",""Q2"":""3"",""Q3"":""1"",""Q4"":""5"",""Q5"":""6"",""Q6"":""1"",""Q7"":""5"",""Q8"":""5"",""Q9"":""6""}"
"76252","","survey-likert","5","282061","0.0-5.0","7","{""Q0"":""0"",""Q1"":""5"",""Q2"":""1"",""Q3"":""6"",""Q4"":""1"",""Q5"":""5"",""Q6"":""2"",""Q7"":""5"",""Q8"":""4"",""Q9"":""1"",""Q10"":""6""}"
"59030","","survey-likert","6","342106","0.0-6.0","7","{""Q0"":""4"",""Q1"":""3"",""Q2"":""5"",""Q3"":""4"",""Q4"":""4"",""Q5"":""3"",""Q6"":""6""}"
"10310","","survey-text","7","353425","0.0-7.0","7","{""Q0"":""Voice""}"
"7280","32","text","8","361711","0.0-8.0","7",""
"52562","","survey-likert","9","415292","0.0-9.0","7","{""Q0"":""5"",""Q1"":""6"",""Q2"":""2"",""Q3"":""5"",""Q4"":""4"",""Q5"":""3"",""Q6"":""4"",""Q7"":""4"",""Q8"":""6"",""Q9"":""5"",""Q10"":""6"",""Q11"":""4"",""Q12"":""5"",""Q13"":""6""}"
"39410","","survey-likert","10","455712","0.0-10.0","7","{""Q0"":""4"",""Q1"":""7"",""Q2"":""5""}"
"55071","","survey-likert","11","511808","0.0-11.0","7","{""Q0"":""1"",""Q1"":""2"",""Q2"":""0"",""Q3"":""1"",""Q4"":""2"",""Q5"":""0"",""Q6"":""1"",""Q7"":""3"",""Q8"":""6""}"
"8677","","survey-text","12","521501","0.0-12.0","7","{""Q0"":""23"",""Q1"":""female""}"
"7936","","survey-likert","13","530445","0.0-13.0","7","{""Q0"":""0""}"
"7707","","survey-text","14","539156","0.0-14.0","7","{""Q0"":""Lamictal- seizures""}"
"13182","13","text","15","553340","0.0-15.0","7",""
