Subject,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
11,2,A,2,A,2,A,2,A,1,A,2,A,1,A,2,A,0,0,12,0,5,6,18,1,1,0,14,1,-0.73649,0.89905,3.2564,-0.26169,1.2911,0.02739,0.64,9,12,12,1,1,0,14,52,48,35,33,41,98,6,6,2,5,5,6,6,6,6,5,5,6,4,4,7,7,6,2,2,1,2,2,1,2,2,1,Clarinet,18,FEMALE,1,7,5,6,7,6,6,6,6,3,6,7,6,6,5,7,6,3,2,6,7,6,6,2,5,3,5,7,5,5,2,5,4,7,7,7,7,7,6
12,1,B,1,B,1,B,1,B,2,B,2,B,1,B,2,B,1,2,14,1,1,1,25,0,1,0,13,1,0.40916,1.50129,-0.46824,1.04677,0.98984,0.02739,1.18,14,14,14,1,1,0,13,46,50,37,32,35,91,4,6,4,5,4,7,7,4,4,7,5,5,2,5,7,8,6,2,3,1,2,3,1,2,3,1,Trombone,19,MALE,1,5,3,5,6,6,6,6,6,3,5,5,6,5,6,7,6,5,5,6,7,6,4,5,6,3,6,5,6,5,3,5,2,6,6,6,5,6,6
13,1,B,2,B,,B,2,B,2,B,2,B,,B,2,B,1,2,10,1,0,0,18,0,0,0,11,0,0.40916,0.29682,-1.21317,-0.26169,0.38733,-0.61182,0.14,5,10,10,0,0,0,11,46,51,35,34,33,94,6,5,2,4,4,6,5,3,5,6,7,5,5,6,6,8,5,2,3,1,2,3,1,2,3,1,Hornn,18,MALE,1,6,2,6,6,5,5,6,7,3,6,6,6,6,3,6,6,6,6,6,7,4,6,4,5,3,5,6,6,4,5,5,3,4,6,6,6,5,6
15,2,A,2,A,2,A,2,A,1,A,1,A,2,A,1,A,0,0,14,0,2,3,21,1,0,0,14,0,-0.73649,1.50129,1.02162,0.29908,1.2911,-0.61182,1.03,14,14,14,0,0,0,14,44,57,38,37,37,96,6,6,4,4,4,5,6,2,3,6,5,4,3,5,3,8,8,2,2,2,2,2,2,2,2,2,bassoon,20,MALE,1,6,4,4,6,5,2,4,7,6,6,7,6,7,6,7,6,6,6,6,7,4,7,6,4,4,4,5,7,5,6,5,5,6,7,5,5,7,7
16,1,B,2,B,1,B,1,B,1,B,2,B,1,B,2,B,0,0,10,0,1,1,23,0,0,0,13,0,-0.73649,0.29682,-0.46824,0.67292,0.98984,-0.61182,0.65,7,10,10,0,0,0,13,57,62,47,39,41,116,7,7,5,5,6,5,7,7,7,7,7,5,5,7,9,8,6,2,5,5,2,5,5,3,5,6,Tenor Trombone,22,MALE,1,7,6,7,7,7,6,7,7,3,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,7,6,4,6,6,7,7,3,6,7,7,7,7,7
17,2,A,2,A,2,A,2,A,2,A,2,A,1,A,2,A,0,0,12,0,1,1,25,0,0,1,12,1,-0.73649,0.89905,-0.46824,1.04677,0.68859,0.02739,0.88,9,12,12,1,0,1,12,46,46,26,33,34,85,7,4,3,4,5,2,5,7,7,6,7,7,2,7,7,6,6,2,2,1,2,2,1,2,2,1,voice,18,FEMALE,1,7,2,6,5,5,7,5,7,2,5,6,6,5,5,5,5,6,3,5,6,3,3,3,4,2,6,6,6,3,4,5,3,4,7,6,4,6,7
18,1,B,2,B,1,B,2,B,2,B,2,B,1,B,1,B,0,0,11,0,2,4,23,2,0,2,10,2,-0.73649,0.59793,1.76654,0.67292,0.08607,0.66661,0.45,9,11,11,2,0,2,10,47,48,34,27,32,85,6,7,5,5,4,3,7,7,7,7,5,5,1,5,3,8,4,2,4,1,2,4,1,2,4,1,Flute,19,FEMALE,1,7,2,6,5,5,6,6,5,5,5,4,6,5,5,7,6,5,5,2,6,6,6,4,6,4,4,5,5,4,3,5,1,3,6,7,5,5,6
19,2,A,2,A,2,A,1,A,2,A,2,A,1,A,1,A,1,1,2,0,1,1,24,0,0,1,10,1,-0.16366,-2.11213,-0.46824,0.85985,0.08607,0.02739,-0.39,0,2,2,1,0,1,10,56,51,41,30,35,94,7,7,2,3,4,5,6,3,5,7,7,6,2,7,4,4,8,2,4,1,2,4,1,2,4,1,CLARINET,20,MALE,0,7,5,6,7,3,7,7,7,7,6,7,5,5,6,7,5,3,7,6,7,7,5,5,6,5,6,6,4,4,1,4,5,6,6,6,5,5,7
20,2,B,1,B,1,B,1,B,2,B,2,B,2,B,2,B,0,0,6,0,1,1,25,0,1,2,9,3,-0.73649,-0.90765,-0.46824,1.04677,-0.21518,1.30582,-0.03,2,6,6,3,1,2,9,59,56,38,37,38,111,7,4,4,5,6,7,7,6,6,7,6,5,4,7,3,5,6,2,3,1,2,3,1,2,3,1,voice,19,FEMALE,1,7,6,6,7,5,7,7,7,7,7,4,6,6,6,7,7,6,7,6,7,7,4,4,4,6,7,5,6,7,7,4,1,7,5,7,6,6,7
21,2,A,2,A,2,A,2,A,2,A,1,A,2,A,2,A,1,2,12,1,0,0,23,0,0,0,9,0,0.40916,0.89905,-1.21317,0.67292,-0.21518,-0.61182,0.45,9,12,12,0,0,0,9,42,49,33,32,29,89,5,3,1,6,4,3,2,1,4,4,5,7,3,5,5,7,5,2,2,1,2,2,1,2,2,1,Voice,18,MAN,1,6,4,5,3,3,7,3,7,4,7,6,5,6,5,6,6,3,5,6,6,6,6,3,5,1,4,6,7,3,6,5,1,5,3,6,4,5,6
