Subject,X,RotAccErrTot.x,RotErrTot.x,RotPartial.x,RotSpeedErrTot.x,OspanAccErrTot.x,OspanMathErrTot.x,OspanPartial.x,OspanSpeedErrTot.x,SymmAccErrTot.x,SymmSpeedErrTot.x,SspanPartial.x,SymmErrTot.x,ZRotErrTot.x,ZRotPartial.x,ZOspanMathErrTot.x,ZOspanPartial.x,ZSspanPartial.x,ZSymmErrTot.x,Melody,AscendingDescending,Condition,cadence_type,change,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot.y,RotErrTot.y,RotPartial.y,RotSpeedErrTot.y,OspanAccErrTot.y,OspanMathErrTot.y,OspanPartial.y,OspanSpeedErrTot.y,SymmAccErrTot.y,SymmSpeedErrTot.y,SspanPartial.y,SymmErrTot.y,ZRotErrTot.y,ZRotPartial.y,ZOspanMathErrTot.y,ZOspanPartial.y,ZSspanPartial.y,ZSymmErrTot.y,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
2,12,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel4P002.aif,1,B,ascending,no_change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
2,13,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel3P002.aif,2,B,ascending,change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
2,14,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel5P002.aif,2,B,descending,no_change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
2,15,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel8P002.aif,2,B,descending,no_change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
2,16,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,mel7P002.aif,2,B,descending,no_change,1,B,2,B,2,B,1,B,2,B,2,B,2,B,2,B,3,3,3,0,1,1,19,0,1,0,10,1,0.98198,-1.81101,-0.46824,-0.07477,0.08607,0.02739,-0.6,2,3,3,1,1,0,10,51,47,36,40,35,100,7,5,4,3,7,3,5,4,6,5,7,6,1,3,7,5,5,2,4,3,2,4,3,3,4,6,voice,18,FEMALE,1,7,3,6,6,5,6,6,7,5,4,5,6,6,5,4,7,5,5,7,7,6,5,4,5,2,6,7,6,6,7,4,4,5,7,6,4,6,7
3,17,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel6P003.aif,2,A,ascending,change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,18,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel5P003.aif,1,A,ascending,no_change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,19,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel1P003.aif,2,A,descending,no_change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,20,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel3P003.aif,2,A,descending,no_change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,21,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel2P003.aif,1,A,descending,change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,22,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel8P003.aif,1,A,ascending,no_change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
3,23,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,mel4P003.aif,2,A,descending,no_change,2,A,1,A,2,A,2,A,1,A,2,A,1,A,1,A,0,0,8,0,1,2,16,1,0,1,9,1,-0.73649,-0.30542,0.27669,-0.63554,-0.21518,0.02739,-0.39,2,8,8,1,0,1,9,47,53,31,29,38,95,4,5,1,4,4,4,5,1,6,5,6,5,3,4,2,2,1,2,3,1,2,3,1,2,3,1,Euphonium,19,MALE,1,7,2,4,7,6,7,6,5,3,6,5,6,6,7,6,6,5,6,6,7,6,3,2,2,5,5,6,7,6,2,2,1,7,7,7,6,6,5
