X,Subject,RotAccErrTot,RotErrTot,RotPartial,RotSpeedErrTot,OspanAccErrTot,OspanMathErrTot,OspanPartial,OspanSpeedErrTot,SymmAccErrTot,SymmSpeedErrTot,SspanPartial,SymmErrTot,ZRotErrTot,ZRotPartial,ZOspanMathErrTot,ZOspanPartial,ZSspanPartial,ZSymmErrTot,Melody,AscendingDescending,Condition,cadence_type,change
42,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel6P006.aif,2,B,descending,no_change
44,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel7P006.aif,2,B,descending,no_change
45,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel8P006.aif,1,B,descending,change
46,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel3P006.aif,1,B,ascending,no_change
47,6,0,0,10,0,2,2,23,0,0,0,6,0,-0.73649,0.29682,0.27669,0.67292,-1.11895,-0.61182,mel2P006.aif,1,B,ascending,no_change
49,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel8P007.aif,1,A,ascending,no_change
50,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel6P007.aif,2,A,ascending,change
51,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel3P007.aif,1,A,descending,change
52,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel5P007.aif,1,A,ascending,no_change
53,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel1P007.aif,2,A,descending,no_change
54,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel7P007.aif,1,A,ascending,no_change
55,7,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel4P007.aif,1,A,descending,change
