melodyFile,db3,db2,db1,dbVector,dbAscDesc,coder,melody
mel2P210.aif,do,ti,la,210,2,Dave,mel2
mel2P211.aif,do,re,do,10,2,Dave,mel2
mel2P212.aif,do,re,do,10,2,Dave,mel2
mel2P213.aif,do,re,do,10,2,Dave,mel2
mel2P214.aif,do,ti,do,101,1,Dave,mel2
mel2P215.aif,do,ti,do,101,1,Dave,mel2
mel2P216.aif,do,ti,do,101,1,Dave,mel2
mel2P217.aif,do,re,do,10,2,Dave,mel2
mel2P218.aif,do,ti,do,101,1,Dave,mel2
mel2P219.aif,,,,NA,,Dave,mel2
mel2P220.aif,,,,NA,,Dave,mel2
mel2P221.aif,mi,re,sol,210,2,Dave,mel2
mel2P223.aif,do,re,do,10,2,Dave,mel2
mel2P224.aif,,,,NA,,Dave,mel2
mel2P225.aif,,,,NA,,Dave,mel2
mel2P227.aif,mi,re,do,210,2,Dave,mel2
mel2P228.aif,do,ti,do,101,1,Dave,mel2
mel2P229.aif,mi,re,do,210,2,Dave,mel2
mel2P230.aif,do,re,do,10,2,Dave,mel2
mel3P001.aif,mi,re,do,210,2,Dave,mel3
mel3P002.aif,sol,re,do,210,2,Dave,mel3
mel3P003.aif,sol,re,do,210,2,Dave,mel3
mel3P004.aif,do,ti,do,101,1,Dave,mel3
mel3P006.aif,do,ti,do,101,1,Dave,mel3
mel3P007.aif,do,ti,do,101,1,Dave,mel3
mel3P008.aif,do,ti,do,101,1,Dave,mel3
mel3P009.aif,do,ti,do,101,1,Dave,mel3
mel3P010.aif,mi,re,do,210,2,Dave,mel3
mel3P011.aif,do,ti,la,210,2,Dave,mel3
mel3P012.aif,do,ti,do,101,1,Dave,mel3
mel3P014.aif,do,ti,do,101,1,Dave,mel3
mel3P015.aif,mi,re,do,210,2,Dave,mel3
mel3P016.aif,do,ti,do,101,1,Dave,mel3
mel3P017.aif,do,ti,do,101,1,Dave,mel3
mel3P018.aif,la,sol,la,101,1,Dave,mel3
mel3P019.aif,mi,re,do,210,2,Dave,mel3
mel3P020.aif,do,ti,do,101,1,Dave,mel3
mel3P021.aif,ti,re,do,21,2,Dave,mel3
mel3P022.aif,re,ti,do,201,1,Dave,mel3
mel3P023.aif,mi,re,do,210,2,Dave,mel3
mel3P024.aif,do,ti,do,101,1,Dave,mel3
mel3P025.aif,mi,re,do,210,2,Dave,mel3
mel3P026.aif,do,re,do,10,2,Dave,mel3
mel3P027.aif,do,re,do,10,2,Dave,mel3
mel3P028.aif,do,ti,do,101,1,Dave,mel3
mel3P029.aif,mi,re,do,210,2,Dave,mel3
mel3P030.aif,do,ti,do,101,1,Dave,mel3
mel3P031.aif,do,la,sol,210,2,Dave,mel3
mel3P032.aif,do,ti,do,101,1,Dave,mel3
mel3P033.aif,do,ti,do,101,1,Dave,mel3
mel3P034.aif,sol,mi,do,210,2,Dave,mel3
mel3P035.aif,do,re,do,10,2,Dave,mel3
mel3P036.aif,do,ti,do,101,1,Dave,mel3
mel3P037.aif,mi,re,do,210,2,Dave,mel3
mel3P038.aif,re,ti,do,201,1,Dave,mel3
mel3P039.aif,mi,re,do,210,2,Dave,mel3
mel3P040.aif,mi,re,do,210,2,Dave,mel3
mel3P041.aif,mi,re,do,210,2,Dave,mel3
mel3P042.aif,do,ti,do,101,1,Dave,mel3
mel3P201.aif,do,re,do,10,2,Dave,mel3
mel3P202.aif,ti,la,do,102,1,Dave,mel3
mel3P203.aif,,,,NA,,Dave,mel3
mel3P204.aif,mi,re,do,210,2,Dave,mel3
mel3P205.aif,mi,re,do,210,2,Dave,mel3
mel3P207.aif,do,re,do,10,2,Dave,mel3
mel3P208.aif,,,,NA,,Dave,mel3
mel3P209.aif,mi,re,do,210,2,Dave,mel3
mel3P210.aif,mi,re,do,210,2,Dave,mel3
mel3P211.aif,ti,re,do,21,2,Dave,mel3
mel3P212.aif,do,la,do,101,1,Dave,mel3
mel3P213.aif,mi,re,do,210,2,Dave,mel3
mel3P214.aif,do,re,do,10,2,Dave,mel3
mel3P215.aif,mi,re,do,210,2,Dave,mel3
mel3P216.aif,do,ti,do,101,1,Dave,mel3
mel3P217.aif,ti,la,do,102,1,Dave,mel3
mel3P218.aif,do,ti,do,101,1,Dave,mel3
mel3P219.aif,do,ti,la,210,2,Dave,mel3
mel3P220.aif,ti,la,sol,210,2,Dave,mel3
mel3P221.aif,do,ti,do,101,1,Dave,mel3
mel3P223.aif,mi,re,do,210,2,Dave,mel3
mel3P224.aif,,,,NA,,Dave,mel3
mel3P225.aif,,,,NA,,Dave,mel3
mel3P227.aif,mi,re,do,210,2,Dave,mel3
mel3P228.aif,do,ti,la,210,2,Dave,mel3
mel3P229.aif,la,re,do,21,2,Dave,mel3
mel3P230.aif,mi,re,do,210,2,Dave,mel3
mel4P001.aif,mi,re,do,210,2,Dave,mel4
mel4P002.aif,do,ti,do,101,1,Dave,mel4
mel4P003.aif,do,re,do,10,2,Dave,mel4
mel4P004.aif,do,ti,do,101,1,Dave,mel4
mel4P006.aif,do,ti,do,101,1,Dave,mel4
mel4P007.aif,do,ti,do,101,1,Dave,mel4
mel4P008.aif,do,re,do,10,2,Dave,mel4
mel4P009.aif,do,ti,do,101,1,Dave,mel4
mel4P010.aif,do,ti,do,101,1,Dave,mel4
mel4P011.aif,mi,re,do,210,2,Dave,mel4
mel4P012.aif,do,ti,do,101,1,Dave,mel4
mel4P013.aif,mi,re,do,210,2,Dave,mel4
mel4P014.aif,mi,re,do,210,2,Dave,mel4
mel4P015.aif,do,re,do,10,2,Dave,mel4
mel4P016.aif,do,la,do,101,1,Dave,mel4
mel4P017.aif,do,re,do,10,2,Dave,mel4
mel4P018.aif,do,ti,do,101,1,Dave,mel4
mel4P019.aif,do,ti,do,101,1,Dave,mel4
mel4P020.aif,do,ti,do,101,1,Dave,mel4
mel4P021.aif,do,ti,do,101,1,Dave,mel4
mel4P022.aif,do,ti,do,101,1,Dave,mel4
mel4P023.aif,mi,re,do,210,2,Dave,mel4
mel4P024.aif,do,ti,do,101,1,Dave,mel4
mel4P025.aif,do,re,do,10,2,Dave,mel4
mel4P026.aif,do,ti,do,101,1,Dave,mel4
mel4P027.aif,do,ti,do,101,1,Dave,mel4
mel4P028.aif,do,ti,do,101,1,Dave,mel4
mel4P029.aif,do,re,do,10,2,Dave,mel4
mel4P030.aif,do,la,sol,210,2,Dave,mel4
mel4P031.aif,mi,re,do,210,2,Dave,mel4
mel4P032.aif,do,la,sol,210,2,Dave,mel4
mel4P033.aif,do,ti,do,101,1,Dave,mel4
mel4P034.aif,do,ti,do,101,1,Dave,mel4
mel4P035.aif,do,re,do,10,2,Dave,mel4
mel4P036.aif,do,ti,do,101,1,Dave,mel4
mel4P037.aif,do,ti,do,101,1,Dave,mel4
mel4P038.aif,do,ti,do,101,1,Dave,mel4
mel4P039.aif,fa,mi,do,210,2,Dave,mel4
mel4P040.aif,do,ti,do,101,1,Dave,mel4
mel4P041.aif,do,re,do,10,2,Dave,mel4
mel4P042.aif,do,ti,do,101,1,Dave,mel4
mel4P201.aif,do,ti,do,101,1,Dave,mel4
mel4P202.aif,,,,NA,,Dave,mel4
mel4P203.aif,do,re,do,10,2,Dave,mel4
mel4P204.aif,do,la,sol,210,2,Dave,mel4
mel4P205.aif,do,re,do,10,2,Dave,mel4
mel4P207.aif,do,re,do,10,2,Dave,mel4
mel4P208.aif,la,ti,do,12,1,Dave,mel4
