subjectNo,melodyFile,em3,em2,em1,emVector,emAscDesc,melody,cd3,cd2,cd1,cdVector,cdAscDesc,cdNotes,kv3,kv2,kv1,kvVector,kvAscDesc,kvComment,check,ascDescFin
216,mel5P216.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,,do,ti,do,101,1,,1,1
217,mel5P217.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,solfege is questionable,do,ti,do,101,1,,1,1
218,mel5P218.aif,,,,10,2,mel5,,,,10,2,not really in a key,ti,do,ti,0 1 0,2,,2,2
219,mel5P219.aif,do,ti,do,101,1,mel5,,,,101,1,not really in a key,do,ti,do,101,1,,1,1
220,mel5P220.aif,do,sol,do,210,2,mel5,ti,sol,do,210,2,Aaron Copland,ti,sol,do,210,2,,2,2
221,mel5P221.aif,,,,201,1,mel5,,,,101,1,not really in a key,re,ti,do,201,1,,1,1
223,mel5P223.aif,,,,210,2,mel5,,,,,2,not really in a key,re,do,sol,210,2,,2,2
227,mel5P227.aif,do,re,do,10,2,mel5,do,re,do,10,2,,do,re,do,0 1 0,2,,2,2
228,mel5P228.aif,,,,201,1,mel5,,,,201,1,not really in a key,re,ti,do,201,1,,1,1
229,mel5P229.aif,do,ti,do,101,1,mel5,do,ti,do,101,1,solfege is questionable,do,ti,do,101,1,,1,1
230,mel5P230.aif,re,mi,do,120,2,mel5,re,mi,do,120,2,,re,mi,do,120,2,,2,2
