melodyFile,em3,em2,em1,emVector,emAscDesc,melody,coder
mel6P035.aif,re,ti,do,201,1,Mel6,Elizabeth
mel6P036.aif,sol,re,do,210,2,Mel6,Elizabeth
mel6P037.aif,fa,re,do,210,2,Mel6,Elizabeth
mel6P038.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P039.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P040.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P041.aif,fa,mi,do,210,2,Mel6,Elizabeth
mel6P042.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P201.aif,mi,fa,re,120,2,Mel6,Elizabeth
mel6P202.aif,,,,210,2,Mel6,Elizabeth
mel6P203.aif,,,,201,1,Mel6,Elizabeth
mel6P204.aif,,,,210,2,Mel6,Elizabeth
mel6P205.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P207.aif,,,,120,2,Mel6,Elizabeth
mel6P208.aif,,,,201,1,Mel6,Elizabeth
mel6P209.aif,,,,120,2,Mel6,Elizabeth
mel6P210.aif,,,,210,2,Mel6,Elizabeth
mel6P211.aif,,,,210,2,Mel6,Elizabeth
mel6P212.aif,,,,201,1,Mel6,Elizabeth
mel6P213.aif,,,,210,2,Mel6,Elizabeth
mel6P214.aif,,,,210,2,Mel6,Elizabeth
mel6P215.aif,fa,re,do,210,2,Mel6,Elizabeth
mel6P216.aif,mi,re,do,210,2,Mel6,Elizabeth
mel6P217.aif,re,mi,do,120,2,Mel6,Elizabeth
mel6P218.aif,do,re,do,10,2,Mel6,Elizabeth
mel6P219.aif,fa,re,do,210,2,Mel6,Elizabeth
mel6P220.aif,re,mi,fa,12,1,Mel6,Elizabeth
mel6P221.aif,,,,201,1,Mel6,Elizabeth
mel6P223.aif,sol,mi,re,210,2,Mel6,Elizabeth
mel6P224.aif,,,,,,Mel6,Elizabeth
mel6P225.aif,,,,,,Mel6,Elizabeth
mel6P227.aif,,,,201,1,Mel6,Elizabeth
mel6P228.aif,,,,10,2,Mel6,Elizabeth
mel6P229.aif,,,,120,2,Mel6,Elizabeth
mel6P230.aif,,,,101,1,Mel6,Elizabeth
mel7P001.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P002.aif,re,re,do,21,2,Mel7,Elizabeth
mel7P003.aif,do,do,me,201,1,Mel7,Elizabeth
mel7P004.aif,sol,mi,re,21,2,Mel7,Elizabeth
mel7P006.aif,fa,re,do,21,2,Mel7,Elizabeth
mel7P007.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P008.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P009.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P010.aif,fa,re,do,21,2,Mel7,Elizabeth
mel7P011.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P012.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P013.aif,NA,NA,NA,NA,NA,Mel7,Elizabeth
mel7P014.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P015.aif,do,re,do,10,2,Mel7,Elizabeth
mel7P016.aif,do,mi,re,21,2,Mel7,Elizabeth
mel7P017.aif,mi,la,do,12,1,Mel7,Elizabeth
mel7P018.aif,re,mi,fa,12,1,Mel7,Elizabeth
mel7P019.aif,do,ti,do,101,1,Mel7,Elizabeth
mel7P020.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P021.aif,do,ti,do,210,2,Mel7,Elizabeth
mel7P022.aif,re,re,do,21,2,Mel7,Elizabeth
mel7P023.aif,do,re,do,10,2,Mel7,Elizabeth
mel7P024.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P025.aif,ti,re,do,21,2,Mel7,Elizabeth
mel7P026.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P027.aif,sol,la,do,12,1,Mel7,Elizabeth
mel7P028.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P029.aif,do,la,sol,21,2,Mel7,Elizabeth
mel7P030.aif,do,re,do,10,2,Mel7,Elizabeth
mel7P031.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P032.aif,do,la,fa,21,2,Mel7,Elizabeth
mel7P033.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P034.aif,do,ti,la,21,2,Mel7,Elizabeth
mel7P035.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P036.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P037.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P038.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P039.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P040.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P041.aif,do,sol,do,12,1,Mel7,Elizabeth
mel7P042.aif,fa,ti,do,12,1,Mel7,Elizabeth
mel7P201.aif,do,re,do,101,1,Mel7,Elizabeth
mel7P202.aif,re,do,la,210,2,Mel7,Elizabeth
mel7P203.aif,la,re,do,21,2,Mel7,Elizabeth
mel7P204.aif,la,ti,do,12,1,Mel7,Elizabeth
